Genes for module 137
LocusLink	Name	P-value	Description
8788	DLK1	<1e-14	delta-like 1 homolog (Drosophila).FA1; ZOG; pG2; PREF1; Pref-1.delta-like homolog.
10633		<1e-14	RAS-related on chromosome 22.
885	CCK	<1e-14	cholecystokinin..cholecystokinin preproprotein.
4884	NPTX1	<1e-14	neuronal pentraxin I.NP1.neuronal pentraxin I precursor.
1996	ELAVL4	<1e-14	ELAV (embryonic lethal, abnormal vision, Drosophila)-like 4 (Hu antigen D).HUD; PNEM.ELAV (embryonic lethal, abnormal vision, Drosophila)-like 4 (Hu antigen D).
7857	SCG2	<1e-14	secretogranin II (chromogranin C).CHGC; SgII.secretogranin II precursor.
6623	SNCG	<1e-14	synuclein, gamma (breast cancer-specific protein 1).SR; BCSG1.synuclein, gamma (breast cancer-specific protein 1).
9899	SV2B	<1e-14	synaptic vesicle glycoprotein 2B.HsT19680; KIAA0735.synaptic vesicle protein 2B homolog.
79734		<1e-14	hypothetical protein FLJ12242.
1113	CHGA	<1e-14	chromogranin A (parathyroid secretory protein 1).CGA.chromogranin A.
322	APBB1	<1e-14	amyloid beta (A4) precursor protein-binding, family B, member 1 (Fe65).RIR; FE65; MGC:9072.amyloid beta A4 precursor protein-binding, family B, member 1 isoform delta E9.
11041	B3GNT6	<1e-14	UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 6.IGAT; IGNT; iGAT; iGNT; BETA3GNTI.beta-1,3-N-acetylglucosaminyltransferase bGnT-6.
5662	PSD	<1e-14	pleckstrin and Sec7 domain protein.TYL; KIAA2011.pleckstrin and Sec7 domain protein.
6861	SYT5	<1e-14	synaptotagmin V..synaptotagmin V.
2596	GAP43	<1e-14	growth associated protein 43.B-50; PP46.growth associated protein 43.
22822	PHLDA1	<1e-14	pleckstrin homology-like domain, family A, member 1.TDAG51; DT1P1B11.pleckstrin homology-like domain, family A, member 1.
2902	GRIN1	<1e-14	glutamate receptor, ionotropic, N-methyl D-aspartate 1.NR1; NMDA1; NMDAR1.NMDA receptor 1 isoform NR1-3 precursor.
1463	CSPG3	<1e-14	chondroitin sulfate proteoglycan 3 (neurocan).NCAN.chondroitin sulfate proteoglycan 3 (neurocan).
4857	NOVA1	<1e-14	neuro-oncological ventral antigen 1.Nova-1.neuro-oncological ventral antigen 1 isoform 2.
9796	PHYHIP	<1e-14	phytanoyl-CoA hydroxylase interacting protein.PAHX-AP; KIAA0273.phytanoyl-CoA hydroxylase interacting protein.
3306	HSPA2	<1e-14	heat shock 70kDa protein 2..heat shock 70kDa protein 2.
1645	AKR1C1	<1e-14	aldo-keto reductase family 1, member C1 (dihydrodiol dehydrogenase 1; 20-alpha (3-alpha)-hydroxysteroid dehydrogenase).C9; DD1; DDH; DDH1; H-37; MBAB; HAKRC; MGC8954; 2-ALPHA-HSD; 20-ALPHA-HSD.aldo-keto reductase family 1, member C1.
11075	STMN2	<1e-14	stathmin-like 2.SCG10; SGC10; SCGN10.superiorcervical ganglia, neural specific 10.
8406	SRPX	<1e-14	sushi-repeat-containing protein, X-linked.ETX1.sushi-repeat-containing protein, X-linked.
9900	SV2A	<1e-14	synaptic vesicle glycoprotein 2A.SV2; KIAA0736.synaptic vesicle glycoprotein 2.
273	AMPH	<1e-14	amphiphysin (Stiff-Man syndrome with breast cancer 128kDa autoantigen).AMPH1.amphiphysin isoform 2.
1410	CRYAB	<1e-14	crystallin, alpha B.CRYA2; CTPP2.crystallin, alpha B.
10900		<1e-14	RaP2 interacting protein 8.Rap2 interacting protein 8; interacts with the activated form of Rap2|Proteome
51704	GPRC5B	<1e-14	G protein-coupled receptor, family C, group 5, member B.RAIG2; RAIG-2.G protein-coupled receptor, family C, group 5, member B precursor.
534	ATP6V1G2	<1e-14	ATPase, H transporting, lysosomal 13kDa, V1 subunit G isoform 2.NG38; ATP6G; Vma10; ATP6G2.ATPase, H transporting, lysosomal, V1 subunit G2, isoform b.
23209	MLC1	<1e-14	megalencephalic leukoencephalopathy with subcortical cysts 1.VL; LVM; MLC; KIAA0027.megalencephalic leukoencephalopathy with subcortical cysts 1 gene product.
346	APOC4	<1e-14	apolipoprotein C-IV..apolipoprotein C-IV.
9607		<1e-14	cocaine- and amphetamine-regulated transcript.
